url,address,postCode,latitude,longitude,NumBeds,NumBaths,price,buildingStyle,buildingType,buildingDevelopment,buildingExteriorFinish,buildingFirePlace,buildingHeatingType,buildingHeatingFuel,buildingCoolingType,propertyOwnershipType,propertyType,parkingType,numParking
https://www.royallepage.ca/en/property/ontario/toronto/82-nipigon-ave/16201311/mlsc5367052/,"82 NIPIGON AVE, Toronto, Ontario, M2M 2W2",M2M 2W2,0,0,5+3,9,3390000,Detached,,,"Brick, Stone",Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Garage,6
https://www.royallepage.ca/en/property/ontario/toronto/66-vanderhoof-ave/16201309/mlsc5367139/,"66 VANDERHOOF AVE, Toronto, Ontario, M4G 2H4",M4G 2H4,0,0,4,4,3200000,Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,2
https://www.royallepage.ca/en/property/ontario/toronto/384-castlefield-ave/16201469/mlsc5367038/,"384 CASTLEFIELD AVE, Toronto, Ontario, M5N 1L5",M5N 1L5,0,0,4+1,4,2198000,Detached,,,Stucco,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,1
https://www.royallepage.ca/en/property/ontario/toronto/804-dovercourt-rd/16201380/mlsw5367025/,"804 DOVERCOURT RD, Toronto, Ontario, M6H 2X3",M6H 2X3,0,0,4,2,1489900,Detached,,,"Aluminum siding, Brick",,Forced air,Natural gas,,Freehold,Single Family,,3
https://www.royallepage.ca/en/property/ontario/toronto/606-151-avenue-rd/16201468/mlsc5367031/,"#606 -151 AVENUE RD, Toronto, Ontario, M5R 2H7",M5R 2H7,0,0,2+1,2,1350000,Apartment,,,,,Heat Pump,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/43-st-georges-blvd/16201385/mlsw5367061/,"43 ST GEORGES BLVD, Toronto, Ontario, M9R 1X3",M9R 1X3,0,0,3,3,1279000,Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Garage,4
https://www.royallepage.ca/en/property/ontario/toronto/2204-12-york-st/16201525/mlsc5366889/,"#2204 -12 YORK ST, Toronto, Ontario, M5J 2Z2",M5J 2Z2,0,0,3+1,2,1175000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/35-royal-st/16201391/mlsw5367121/,"35 ROYAL ST, Toronto, Ontario, M6N 3Z3",M6N 3Z3,0,0,3+1,3,1149900,Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Garage,5
https://www.royallepage.ca/en/property/ontario/toronto/2504-75-wynford-heights-cres/16201464/mlsc5366989/,"#2504 -75 WYNFORD HEIGHTS CRES, Toronto, Ontario, M3C 3H9",M3C 3H9,0,0,3,3,1075000,Apartment,,,Concrete,,Forced air,,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",2
https://www.royallepage.ca/en/property/ontario/toronto/170-dolores-rd/16201386/mlsw5367069/,"170 DOLORES RD, Toronto, Ontario, M3L 2K8",M3L 2K8,0,0,3,2,995000,Semi-Detached,,,Brick,Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Garage,3
